Epoch,Train Loss,Validation Loss,Validation Accuracy,mIoU
1,0.4184192851443208,0.39390619204501914,0.8361540699968434,0.6621928240507158
2,0.15906878889407855,0.25700646217423256,0.9013573725536617,0.7739007852135424
3,0.12946338198235305,0.21430484664560567,0.9182495857007575,0.8067212760806647
4,0.11313846168213751,0.18058807771615307,0.9319404494160354,0.8423967385729493
5,0.10299509915589371,0.1613366036403059,0.9383702256944444,0.8601195867888561
6,0.09536931482420773,0.14999695919980907,0.9419003018465909,0.871896993296196
7,0.08892346079141301,0.14163920960643075,0.9451242897727272,0.8827080147987066
8,0.08303750745394409,0.1421598709291882,0.9447607915088384,0.8807112270331587
9,0.07882570550274712,0.13910112612777287,0.946447630602904,0.8892876286465667
10,0.07429871235378874,0.1364060253506959,0.947218079229798,0.8894376274064638
